,original,generated
426,1331,1331
427,1285,1285
428,795,795
429,1181,1181
430,1987,1987
431,2196,2196
432,1240,1240
433,2110,2110
434,2190,2190
435,1412,1412
436,704,704
437,1429,1429
438,778,778
439,1043,1043
440,920,920
441,512,512
442,679,679
443,1075,1075
444,983,983
445,1256,1256
446,2011,2011
447,1077,1077
448,2028,2028
449,912,912
450,339,339
451,2080,2080
452,892,892
453,1570,1570
454,791,791
455,999,999
456,723,723
457,1438,1438
458,37,37
459,1458,1458
460,1692,1692
461,2097,2097
462,166,166
463,1669,1669
464,2054,2054
465,1037,1037
466,1117,1117
467,990,990
468,1333,1333
469,1148,1148
470,1141,1141
471,1875,1875
472,1580,1580
473,2100,2100
474,2261,2261
475,2182,2182
476,1390,1390
477,239,239
478,1260,1260
479,1287,1287
480,257,257
481,1612,1612
482,233,233
483,173,173
484,1161,1161
485,2000,2000
486,1121,1121
487,908,908
488,1706,1706
489,1053,1053
490,278,278
491,1061,1061
492,888,888
493,950,950
494,1791,1791
495,2105,2105
496,1651,1651
497,1725,1725
498,1159,1159
499,1936,1936
500,1401,1401
501,1416,1416
502,1897,1897
503,805,805
504,952,952
505,1623,1623
506,1672,1672
507,1721,1721
508,520,520
509,1341,1341
510,347,347
511,457,457
512,898,898
513,758,758
514,1637,1637
515,373,373
516,2263,2263
517,1881,1881
518,1713,1713
519,116,116
520,651,651
521,1518,1518
522,1400,1400
523,1090,1090
524,987,987
525,2008,2008
526,1723,1723
527,1433,1433
528,2267,2267
529,831,831
530,1841,1841
531,447,447
532,1079,1079
533,1629,1629
534,658,658
535,1576,1576
536,2194,2194
537,975,975
538,942,942
539,1464,1464
540,1865,1865
