,original,generated
488,323,323
489,752,752
490,528,528
491,944,944
492,1486,1486
493,878,878
494,1358,1358
495,301,301
496,367,367
497,1804,1804
498,2164,2164
499,169,169
500,239,239
501,874,874
502,269,269
503,437,437
504,1947,1947
505,179,179
506,636,636
507,2172,2172
508,958,958
509,667,667
510,534,534
511,1155,1155
512,1410,1410
513,1641,1641
514,1184,1184
515,1702,1702
516,780,780
517,1250,1250
518,1063,1063
519,964,964
520,1618,1618
521,1556,1556
522,1324,1324
523,1098,1098
524,2255,2255
525,1429,1429
526,1542,1542
527,561,561
528,1823,1823
529,1454,1454
530,1318,1318
531,2277,2277
532,1495,1495
533,1749,1749
534,1520,1520
535,144,144
536,1167,1167
537,2216,2216
538,1536,1536
539,1360,1360
540,93,93
541,876,876
542,1847,1847
543,181,181
544,1905,1905
545,817,817
546,1908,1908
547,4,4
548,2247,2247
549,1413,1413
550,132,132
551,2032,2032
552,1932,1932
553,39,39
554,1141,1141
555,1733,1733
556,479,479
557,371,371
558,1221,1221
559,1574,1574
560,973,973
561,569,569
562,687,687
563,1643,1643
564,572,572
565,555,555
566,2263,2263
567,81,81
568,485,485
569,2168,2168
570,1584,1584
571,2143,2143
572,156,156
573,762,762
574,1466,1466
575,387,387
576,335,335
577,948,948
578,227,227
579,2298,2298
580,1719,1719
581,1674,1674
582,520,520
583,2170,2170
584,2241,2241
585,1009,1009
586,1970,1970
587,902,902
588,333,333
589,1227,1227
590,1047,1047
591,1325,1325
592,2258,2258
593,1881,1881
594,1425,1425
595,2024,2024
596,1464,1464
597,1336,1336
598,71,71
599,551,551
600,856,856
601,2127,2127
602,1635,1635
603,1739,1739
604,1086,1086
605,1704,1704
606,563,563
607,91,91
608,1188,1188
609,89,89
610,427,427
611,107,107
612,664,664
613,585,585
614,109,109
615,1260,1260
616,1683,1683
617,1264,1264
618,6,6
619,799,799
620,459,459
621,18,18
622,373,373
623,2244,2244
624,1708,1708
625,248,248
626,2228,2228
627,1877,1877
628,1505,1505
629,1472,1472
630,735,735
631,1418,1418
632,1412,1412
633,8,8
634,1920,1920
635,419,419
636,868,868
637,979,979
638,1119,1119
639,1837,1837
640,193,193
641,1817,1817
642,2249,2249
643,1079,1079
644,565,565
645,1041,1041
646,892,892
647,2226,2226
648,716,716
649,651,651
650,1530,1530
651,1432,1432
652,872,872
653,341,341
654,1081,1081
655,2105,2105
656,1102,1102
657,1194,1194
658,1447,1447
659,1637,1637
660,530,530
661,2002,2002
662,407,407
663,2116,2116
664,2220,2220
665,1430,1430
666,397,397
667,260,260
668,163,163
669,10,10
670,1338,1338
671,2288,2288
672,1512,1512
673,977,977
674,1280,1280
675,44,44
676,748,748
677,829,829
678,896,896
679,1278,1278
680,112,112
681,1656,1656
682,1509,1509
683,1379,1379
684,926,926
685,609,609
686,1482,1482
687,1229,1229
688,1459,1459
689,1532,1532
690,704,704
691,1891,1891
692,217,217
693,711,711
694,1649,1649
695,1307,1307
696,789,789
697,615,615
698,1039,1039
699,729,729
700,1225,1225
701,2261,2261
702,205,205
703,787,787
704,128,128
705,2269,2269
706,740,740
707,1460,1460
708,53,53
709,690,690
710,263,263
711,1365,1365
712,540,540
713,1701,1701
