,original,generated
158,872,872
159,534,534
160,1676,1676
161,1700,1700
162,126,126
163,2122,2122
164,2124,2124
165,651,651
166,2064,2064
167,1849,1849
168,1135,1135
169,1859,1859
170,809,809
171,1737,1737
172,1079,1079
173,1025,1025
174,1843,1843
175,2286,2286
176,181,181
177,1582,1582
178,2295,2295
179,1625,1625
180,1413,1413
181,2026,2026
182,1731,1731
183,1480,1480
184,1631,1631
185,1287,1287
186,589,589
187,737,737
188,999,999
189,1075,1075
190,2218,2218
191,1715,1715
192,1403,1403
193,2204,2204
194,2092,2092
195,1979,1979
196,1037,1037
197,1905,1905
198,2180,2180
199,977,977
200,627,627
201,431,431
202,1328,1328
203,2129,2129
204,1406,1406
205,1656,1656
206,1453,1453
207,2131,2131
208,2015,2015
209,2060,2060
210,1309,1309
211,2052,2052
212,1175,1175
213,1612,1612
214,1055,1055
215,2022,2022
216,1354,1354
217,1683,1683
218,1186,1186
219,2086,2086
220,1139,1139
221,489,489
222,805,805
223,1426,1426
224,2194,2194
225,357,357
226,1808,1808
227,2002,2002
228,199,199
229,1487,1487
230,1538,1538
231,266,266
232,401,401
233,251,251
234,1300,1300
235,109,109
236,910,910
237,1084,1084
238,638,638
239,1751,1751
240,487,487
241,1349,1349
242,2069,2069
243,670,670
244,1704,1704
245,896,896
246,1225,1225
247,1879,1879
248,2088,2088
249,1509,1509
250,379,379
251,2008,2008
252,130,130
253,795,795
254,831,831
255,1209,1209
256,1094,1094
257,1096,1096
258,1191,1191
259,173,173
260,1430,1430
261,1248,1248
262,555,555
263,1409,1409
264,1827,1827
265,2054,2054
266,1115,1115
267,1789,1789
268,1989,1989
269,1421,1421
270,1604,1604
271,1690,1690
272,387,387
273,579,579
274,1318,1318
275,51,51
276,1491,1491
277,948,948
278,1464,1464
279,1545,1545
280,142,142
281,2273,2273
282,1717,1717
283,1721,1721
284,583,583
285,1086,1086
286,233,233
287,655,655
288,1459,1459
289,2267,2267
290,2208,2208
291,1414,1414
292,1238,1238
293,1250,1250
294,1047,1047
295,684,684
296,12,12
297,964,964
298,1918,1918
299,928,928
300,2269,2269
301,1520,1520
302,1960,1960
303,1889,1889
304,479,479
305,797,797
306,1029,1029
307,211,211
308,2083,2083
309,461,461
310,2214,2214
311,817,817
312,1831,1831
313,969,969
314,985,985
315,4,4
316,803,803
317,469,469
318,1588,1588
319,1512,1512
320,1819,1819
321,1003,1003
322,1125,1125
323,453,453
324,1342,1342
325,667,667
326,417,417
327,1264,1264
328,1759,1759
329,2226,2226
330,329,329
331,1804,1804
332,1231,1231
333,930,930
334,107,107
335,1568,1568
336,750,750
337,2245,2245
338,483,483
339,2281,2281
340,593,593
341,1227,1227
342,2234,2234
343,1009,1009
344,1121,1121
345,1088,1088
346,1623,1623
347,787,787
348,1735,1735
349,1283,1283
350,1637,1637
351,2126,2126
352,2230,2230
353,2154,2154
354,1129,1129
355,2018,2018
356,1895,1895
357,49,49
358,1486,1486
359,459,459
360,965,965
361,1379,1379
362,341,341
363,144,144
364,1278,1278
365,1083,1083
366,1542,1542
367,973,973
368,239,239
369,542,542
370,361,361
371,1998,1998
372,2279,2279
373,1291,1291
374,981,981
375,565,565
376,572,572
377,1973,1973
378,335,335
379,1689,1689
380,1949,1949
381,561,561
382,96,96
383,1102,1102
384,347,347
385,530,530
386,1165,1165
387,1043,1043
388,1666,1666
389,1127,1127
390,2044,2044
391,1071,1071
392,1947,1947
393,1077,1077
394,1240,1240
395,1476,1476
396,1536,1536
397,1184,1184
398,1764,1764
399,2228,2228
400,1148,1148
401,673,673
402,1410,1410
403,1598,1598
404,1460,1460
405,1478,1478
406,1926,1926
407,1801,1801
408,2176,2176
409,116,116
410,423,423
411,2164,2164
412,321,321
413,752,752
414,860,860
415,1783,1783
416,1159,1159
417,924,924
418,664,664
419,1201,1201
420,475,475
421,1269,1269
422,1427,1427
423,1761,1761
424,952,952
425,1936,1936
426,2249,2249
427,2190,2190
428,1985,1985
429,1992,1992
430,1350,1350
431,914,914
432,263,263
433,2198,2198
434,1400,1400
435,419,419
436,716,716
437,1329,1329
438,2116,2116
439,339,339
440,920,920
441,690,690
442,591,591
443,801,801
444,1059,1059
445,878,878
446,729,729
447,926,926
448,1377,1377
449,1289,1289
450,990,990
451,567,567
452,1641,1641
453,1923,1923
454,2291,2291
455,1817,1817
456,2073,2073
457,2071,2071
458,934,934
459,2013,2013
460,175,175
461,1296,1296
462,1194,1194
463,497,497
464,2034,2034
465,451,451
466,1719,1719
467,1635,1635
468,1327,1327
469,544,544
470,2110,2110
471,425,425
472,1757,1757
473,1708,1708
474,2258,2258
475,2094,2094
476,1137,1137
477,1449,1449
478,1791,1791
479,2275,2275
480,2251,2251
481,850,850
482,1336,1336
483,1355,1355
484,1422,1422
485,1489,1489
486,1405,1405
487,1429,1429
488,1057,1057
489,2152,2152
490,532,532
491,169,169
492,979,979
493,514,514
494,1472,1472
495,1442,1442
496,748,748
497,2200,2200
498,1951,1951
499,1600,1600
500,1305,1305
501,1434,1434
502,2048,2048
503,75,75
504,16,16
505,161,161
506,575,575
507,151,151
508,577,577
509,331,331
510,2062,2062
511,272,272
512,33,33
513,607,607
514,47,47
515,1983,1983
516,1244,1244
517,355,355
518,1181,1181
519,349,349
520,508,508
521,2298,2298
522,825,825
523,136,136
524,1446,1446
525,1739,1739
526,1246,1246
527,1799,1799
528,601,601
529,2288,2288
530,774,774
531,611,611
532,629,629
533,1771,1771
534,551,551
535,1964,1964
536,1324,1324
